"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","20980","0.0-0.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","","","","","","","","","","","","",""
"","instructions","1","161775","0.0-1.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","[{""page_index"":0,""viewing_time"":18028.600000023842},{""page_index"":1,""viewing_time"":13604.299999952316},{""page_index"":2,""viewing_time"":24288.200000047684},{""page_index"":3,""viewing_time"":19293.599999964237},{""page_index"":4,""viewing_time"":15199.900000035763},{""page_index"":5,""viewing_time"":36367.89999997616},{""page_index"":6,""viewing_time"":14010}]","140793.19999998808","","","","","","","","","","","",""
"","image-keyboard-response","2","163777","0.0-2.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","","img/land1.png","","2001.9000000357628","-1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","3","164080","0.0-3.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","166082","0.0-4.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","","img/land5.png","","2001.3999999761581","-1","0","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","5","166384","0.0-5.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","168386","0.0-6.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","","img/land1.png","","2001.5","-1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","7","168689","0.0-7.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","170078","0.0-8.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1387.800000011921","img/land1.png","75","1389.0999999642372","2","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","9","170380","0.0-9.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","171465","0.0-10.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1083.199999988079","img/land3.png","75","1084","2","0","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","11","171767","0.0-11.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","172277","0.0-12.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","509.10000002384186","img/land3.png","74","510.10000002384186","1","0","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","13","172579","0.0-13.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","173802","0.0-14.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1221.5999999642372","img/land1.png","74","1222.5","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","15","174104","0.0-15.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","175636","0.0-16.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1531.2999999523163","img/land3.png","74","1532.199999988079","1","0","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","17","175938","0.0-17.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","177491","0.0-18.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1551.8999999761581","img/land3.png","76","1552.800000011921","3","1","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","19","177799","0.0-19.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","179421","0.0-20.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1620.9000000357628","img/land3.png","76","1621.8999999761581","3","1","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","21","179723","0.0-21.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","22","180923","0.0-22.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1198.9000000357628","img/land1.png","74","1199.699999988079","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","23","181225","0.0-23.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","24","182800","0.0-24.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1574.3999999761581","img/land1.png","74","1575.1000000238419","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","25","183102","0.0-25.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","26","184121","0.0-26.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1018.2999999523163","img/land1.png","74","1019.2999999523163","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","27","184422","0.0-27.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","28","185445","0.0-28.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1021.9000000357628","img/land1.png","74","1022.7000000476837","1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","29","185748","0.0-29.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","30","187751","0.0-30.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","","img/land1.png","","2002.199999988079","-1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","31","188052","0.0-31.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","32","189138","0.0-32.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1084.699999988079","img/land3.png","76","1085.4000000357628","3","0","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","33","189440","0.0-33.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","34","190492","0.0-34.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1051.2000000476837","img/land3.png","75","1052.0999999642372","2","0","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","35","190795","0.0-35.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","36","191640","0.0-36.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","843.5999999642372","img/land5.png","76","844.3999999761581","3","0","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","37","191941","0.0-37.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","38","192786","0.0-38.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","842.6000000238419","img/land1.png","74","843.5999999642372","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","39","193088","0.0-39.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","40","194568","0.0-40.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1479.300000011921","img/land3.png","75","1480.1000000238419","2","0","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","41","194870","0.0-41.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","42","195606","0.0-42.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","734.8999999761581","img/land1.png","74","735.8000000119209","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","43","195914","0.0-43.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","44","196860","0.0-44.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","944.4000000357628","img/land1.png","74","945.8000000119209","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","45","197161","0.0-45.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","46","198063","0.0-46.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","900.4000000357628","img/land1.png","74","901.3000000119209","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","47","198364","0.0-47.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","48","199285","0.0-48.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","920.1999999880791","img/land1.png","74","920.9000000357628","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","49","199587","0.0-49.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","50","200297","0.0-50.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","708.2999999523163","img/land1.png","74","709.3000000119209","1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","51","200599","0.0-51.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","52","201694","0.0-52.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1094","img/land5.png","76","1094.9000000357628","3","1","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","53","201995","0.0-53.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","54","203183","0.0-54.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1187.0999999642372","img/land1.png","74","1187.8999999761581","1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","55","203485","0.0-55.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","56","204201","0.0-56.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","715.8999999761581","img/land3.png","76","716.5999999642372","3","1","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","57","204502","0.0-57.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","58","205784","0.0-58.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1280","img/land1.png","76","1281.0999999642372","3","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","59","206087","0.0-59.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","60","206894","0.0-60.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","806","img/land1.png","74","807.1999999880791","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","61","207195","0.0-61.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","62","208011","0.0-62.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","814.8000000119209","img/land1.png","74","815.6000000238419","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","63","208313","0.0-63.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","64","209094","0.0-64.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","780.0999999642372","img/land3.png","76","780.8000000119209","3","1","3","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","65","209396","0.0-65.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","66","210307","0.0-66.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","910.1999999880791","img/land5.png","76","911.1999999880791","3","0","2","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","67","210609","0.0-67.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","68","211496","0.0-68.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","886","img/land1.png","74","886.9000000357628","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","69","211798","0.0-69.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","70","212576","0.0-70.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","778","img/land1.png","74","778.8999999761581","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","71","212878","0.0-71.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","72","213880","0.0-72.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","1000.1999999880791","img/land1.png","74","1001.1000000238419","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","73","214182","0.0-73.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","74","215031","0.0-74.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","848","img/land1.png","74","849","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","75","215333","0.0-75.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","76","216123","0.0-76.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","789.8000000119209","img/land1.png","74","790.5","1","1","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","77","216426","0.0-77.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","78","217389","0.0-78.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","961.8999999761581","img/land1.png","74","962.9000000357628","1","0","1","2","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","79","217691","0.0-79.0","39ASUFLU6YTI272G9YS4JVEQ72PXEY","A37OUZOGQKGMW0","382GHPVPHSDM8N0F9141EAH7F0K34Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
